Lar5
t	x	v_{x}
0.000	-378.5	
0.033	-378.1	22.67
0.066	-377.0	29.50
0.100	-376.1	48.87
0.133	-373.8	56.07
0.166	-372.4	39.92
0.199	-371.1	27.75
0.233	-370.6	28.95
0.266	-369.2	41.03
0.299	-367.8	84.15
0.333	-363.6	124.4
0.366	-359.6	95.26
0.399	-357.3	72.64
0.432	-354.7	57.11
0.466	-353.5	58.69
0.499	-350.8	78.22
0.532	-348.2	54.07
0.565	-347.2	22.74
0.599	-346.7	53.57
0.632	-343.7	127.4
0.665	-338.3	117.5
0.699	-335.8	54.12
0.732	-334.7	36.53
0.765	-333.4	118.6
0.798	-326.8	178.3
0.832	-321.5	52.40
0.865	-323.3	-0.532
0.898	-321.6	85.89
0.931	-317.6	61.16
0.965	-317.5	20.90
0.998	-316.2	68.49
1.031	-313.0	64.47
1.065	-311.9	33.01
1.098	-310.8	60.90
1.131	-307.8	95.92
1.164	-304.4	83.27
1.197	-302.3	60.57
1.231	-300.4	78.18
1.264	-297.1	51.75
1.297	-296.9	7.808
1.331	-296.6	103.4
1.364	-290.0	131.8
1.397	-287.8	52.01
1.430	-286.6	44.15
1.463	-284.9	64.22
1.497	-282.3	63.88
1.530	-280.7	58.86
1.563	-278.4	52.68
1.597	-277.2	28.17
1.630	-276.5	25.10
1.663	-275.5	33.82
1.696	-274.3	59.59
1.730	-271.5	190.8
1.763	-261.6	159.4
1.796	-260.9	17.58
1.829	-260.4	21.48
1.863	-259.5	23.53
1.896	-258.8	265.3
1.929	-241.9	263.4
1.963	-241.3	17.10
1.996	-240.7	15.99
2.029	-240.2	28.97
2.063	-238.8	29.76
2.096	-238.3	15.80
2.129	-237.7	20.78
2.162	-236.9	31.25
2.195	-235.7	25.00
2.229	-235.2	31.04
2.262	-233.6	39.68
2.295	-232.6	40.57
2.328	-230.9	156.9
2.362	-222.1	131.1
2.395	-222.2	50.98
2.428	-218.8	64.44
2.462	-217.9	39.06
2.495	-216.2	52.52
2.528	-214.4	60.04
2.561	-212.2	61.60
2.594	-210.3	99.32
2.628	-205.6	105.8
2.661	-203.2	90.33
2.694	-199.5	58.47
2.728	-199.3	40.45
2.761	-196.9	100.6
2.794	-192.7	96.19
2.827	-190.5	50.66
2.861	-189.3	59.60
2.894	-186.5	79.74
2.927	-184.0	55.35
2.961	-182.8	50.52
2.994	-180.6	64.72
3.027	-178.5	84.30
3.060	-175.0	79.35
3.093	-173.2	93.54
3.127	-168.8	94.86
3.160	-166.9	64.79
3.194	-164.4	51.85
3.227	-163.4	30.83
3.260	-162.4	41.63
3.293	-160.7	48.63
3.326	-159.2	119.2
3.360	-152.8	109.6
3.393	-151.9	37.95
3.426	-150.2	108.0
3.459	-144.7	104.7
3.493	-143.3	57.38
3.526	-140.9	52.52
3.559	-139.8	37.94
3.592	-138.3	44.11
3.626	-136.8	43.81
3.659	-135.4	62.09
3.692	-132.7	75.84
3.725	-130.4	75.89
3.759	-127.7	75.67
3.792	-125.4	55.95
3.825	-123.9	110.4
3.858	-118.0	87.44
3.892	-118.1	69.69
3.925	-113.4	108.8
3.959	-110.8	44.88
3.992	-110.4	49.73
4.025	-107.6	63.82
4.058	-106.1	33.31
4.091	-105.3	27.54
4.125	-104.3	27.81
4.158	-103.5	195.2
4.191	-91.32	187.4
4.224	-91.02	14.70
4.258	-90.35	9.878
4.291	-90.36	19.45
4.324	-89.05	45.85
4.357	-87.32	44.22
4.391	-86.11	37.81
4.424	-84.80	51.95
4.457	-82.66	157.6
4.491	-74.29	132.0
4.524	-73.86	15.54
4.557	-73.26	33.86
4.590	-71.61	48.90
4.624	-70.01	113.5
4.657	-64.07	85.15
4.690	-64.34	9.638
4.723	-63.43	111.2
4.757	-56.94	119.3
4.790	-55.50	45.85
4.823	-53.89	46.25
4.856	-52.42	54.40
4.890	-50.25	45.52
4.923	-49.39	42.80
4.956	-47.42	175.4
4.989	-37.72	136.8
5.023	-38.30	13.81
5.056	-36.80	55.67
5.089	-34.61	63.66
5.123	-32.58	50.55
5.156	-31.24	48.00
5.189	-29.39	73.21
5.222	-26.38	73.62
5.256	-24.50	35.24
5.289	-24.03	20.51
5.322	-23.13	38.48
5.356	-21.47	59.17
5.389	-19.19	125.8
5.422	-13.10	120.6
5.455	-11.17	57.08
5.488	-9.307	42.65
5.522	-8.324	53.65
5.555	-5.742	66.69
5.588	-3.905	61.35
5.621	-1.661	71.00
5.655	0.817	45.25
