med2
t	x	v_{x}
1.837	-419.9	12.55
1.870	-419.2	23.43
1.904	-418.3	35.79
1.937	-416.9	27.84
1.970	-416.5	43.08
2.003	-414.0	50.20
2.037	-413.1	25.82
2.070	-412.3	19.07
2.103	-411.9	31.07
2.136	-410.2	25.52
2.170	-410.2	14.15
2.203	-409.3	19.80
2.236	-408.9	12.94
2.269	-408.4	7.880
2.303	-408.3	15.08
2.336	-407.4	17.45
2.369	-407.2	17.74
2.402	-406.2	48.96
2.436	-403.9	41.39
2.469	-403.5	11.72
2.502	-403.1	15.87
2.535	-402.4	23.06
2.569	-401.6	42.15
2.602	-399.6	45.89
2.635	-398.5	40.32
2.669	-396.9	44.31
2.702	-395.6	41.80
2.735	-394.1	51.70
2.768	-392.2	51.25
2.802	-390.7	42.90
2.835	-389.3	29.08
2.868	-388.8	21.12
2.901	-387.9	33.70
2.935	-386.6	38.40
2.968	-385.3	45.85
3.001	-383.5	43.58
3.034	-382.4	48.85
3.068	-380.3	49.14
3.101	-379.2	31.08
3.134	-378.2	44.76
3.168	-376.2	43.95
3.201	-375.3	30.17
3.234	-374.2	36.26
3.267	-372.9	45.80
3.301	-371.1	41.45
3.334	-370.1	34.60
3.367	-368.8	39.10
3.400	-367.5	38.48
3.434	-366.3	79.38
3.467	-362.2	74.27
3.500	-361.3	22.58
3.533	-360.7	25.81
3.567	-359.6	35.42
3.600	-358.4	36.39
3.633	-357.2	30.10
3.666	-356.4	42.15
3.700	-354.4	44.28
3.733	-353.4	43.65
3.766	-351.5	60.13
3.800	-349.4	45.15
3.833	-348.5	32.15
3.866	-347.3	30.91
3.899	-346.4	28.91
3.933	-345.3	31.87
3.966	-344.3	46.50
3.999	-342.3	59.31
4.032	-340.4	171.5
4.066	-330.8	148.1
4.099	-330.5	3.814
4.132	-330.6	1.542
4.165	-330.4	14.87
4.199	-329.6	14.14
4.232	-329.5	19.07
4.265	-328.3	49.77
4.299	-326.2	50.67
4.332	-325.0	28.79
4.365	-324.2	33.10
4.398	-322.8	41.88
4.432	-321.4	35.98
4.465	-320.4	65.52
4.498	-317.1	69.99
4.531	-315.7	28.66
4.565	-315.2	26.31
4.598	-314.0	44.37
4.631	-312.2	40.03
4.664	-311.3	39.43
4.698	-309.6	49.08
4.731	-308.0	46.87
4.764	-306.5	37.56
4.798	-305.5	32.81
4.831	-304.3	41.55
4.864	-302.8	44.62
4.897	-301.3	36.37
4.931	-300.3	31.83
4.964	-299.2	36.67
4.997	-297.9	41.26
5.030	-296.5	39.21
5.064	-295.3	46.78
5.097	-293.4	42.03
5.130	-292.5	28.91
5.164	-291.4	32.19
5.197	-290.4	31.85
5.230	-289.3	33.09
5.263	-288.2	33.83
5.296	-287.1	46.46
5.330	-285.1	42.21
5.363	-284.3	33.14
5.396	-282.9	42.06
5.429	-281.5	38.87
5.463	-280.3	45.13
5.496	-278.5	45.30
5.529	-277.3	40.31
5.562	-275.8	43.17
5.596	-274.4	37.06
5.629	-273.3	77.52
5.662	-269.2	75.07
5.696	-268.3	29.05
5.729	-267.3	32.60
5.762	-266.2	32.93
5.796	-265.1	29.37
5.829	-264.2	38.48
5.862	-262.5	42.31
5.895	-261.4	34.05
5.928	-260.3	34.06
5.962	-259.1	39.95
5.995	-257.6	43.19
6.028	-256.3	183.7
6.061	-245.4	166.9
6.095	-245.2	8.894
6.128	-244.8	9.771
6.161	-244.5	14.94
6.194	-243.8	20.34
6.228	-243.2	19.64
6.261	-242.5	20.36
6.294	-241.8	27.30
6.328	-240.7	50.23
6.361	-238.5	214.3
6.394	-226.4	180.3
6.427	-226.5	-2.398
6.461	-226.6	-2.568
6.494	-226.6	1.546
6.527	-226.5	4.275
6.560	-226.4	8.165
6.594	-225.9	15.42
6.627	-225.3	17.18
6.660	-224.8	23.50
6.693	-223.8	26.07
6.727	-223.0	21.91
6.760	-222.3	20.40
6.793	-221.7	24.16
6.827	-220.7	32.25
6.860	-219.5	31.12
6.893	-218.6	28.64
6.926	-217.6	36.11
6.960	-216.2	38.08
6.993	-215.1	41.32
7.026	-213.5	65.35
7.059	-210.8	56.47
7.093	-209.7	35.63
7.126	-208.4	33.03
7.159	-207.5	32.28
7.192	-206.2	36.15
7.226	-205.1	42.00
7.259	-203.4	53.29
7.292	-201.6	47.64
7.325	-200.3	39.59
7.359	-198.9	36.76
7.392	-197.8	24.59
7.425	-197.3	54.16
7.459	-194.2	119.8
7.492	-189.3	76.46
7.525	-189.1	13.36
7.558	-188.4	72.35
7.592	-184.3	73.78
7.625	-183.5	17.62
7.658	-183.2	20.35
7.691	-182.2	22.97
7.725	-181.6	25.32
7.758	-180.5	35.42
7.791	-179.3	44.87
7.825	-177.5	43.84
7.858	-176.4	35.21
7.891	-175.2	77.70
7.924	-171.2	58.32
7.958	-171.3	12.18
7.991	-170.4	32.50
8.024	-169.1	41.08
8.057	-167.6	39.63
8.091	-166.5	34.65
8.124	-165.3	33.02
8.157	-164.3	33.17
8.190	-163.1	41.76
8.224	-161.5	42.40
8.257	-160.3	32.83
8.290	-159.3	33.28
8.323	-158.1	47.16
8.357	-156.2	48.54
8.390	-154.9	49.48
8.423	-152.9	42.40
8.456	-152.0	25.76
8.490	-151.2	26.55
8.523	-150.3	72.95
8.556	-146.3	66.10
8.590	-145.9	16.11
8.623	-145.3	24.91
8.656	-144.2	32.31
8.689	-143.1	38.06
8.723	-141.7	39.45
8.756	-140.5	37.08
8.789	-139.2	35.88
8.822	-138.1	40.88
8.856	-136.5	43.55
8.889	-135.2	40.43
8.922	-133.8	43.89
8.956	-132.3	39.34
8.989	-131.2	31.74
9.022	-130.2	39.26
9.055	-128.6	49.30
9.089	-126.9	45.10
9.122	-125.6	36.21
9.155	-124.5	32.21
9.188	-123.4	34.25
9.222	-122.2	43.13
9.255	-120.6	48.93
9.288	-118.9	55.73
9.321	-116.9	43.81
9.354	-116.0	31.14
9.388	-114.8	36.48
9.421	-113.6	39.61
9.454	-112.2	37.69
9.488	-111.1	31.32
9.521	-110.1	40.10
9.554	-108.4	43.23
9.587	-107.2	46.77
9.621	-105.3	46.93
9.654	-104.1	34.97
9.687	-103.0	41.67
9.721	-101.3	41.05
9.754	-100.2	32.88
9.787	-99.12	71.57
9.820	-95.49	67.22
9.854	-94.64	29.82
9.887	-93.50	33.38
9.920	-92.42	32.73
9.953	-91.33	32.17
9.987	-90.28	33.76
10.020	-89.08	43.18
10.053	-87.41	49.26
10.087	-85.79	50.19
10.120	-84.07	44.19
10.153	-82.86	39.06
10.186	-81.47	40.24
10.219	-80.19	36.08
10.253	-79.08	35.30
10.286	-77.84	39.68
10.319	-76.44	45.17
10.352	-74.83	45.39
10.386	-73.42	43.87
10.419	-71.92	47.36
10.452	-70.27	44.29
10.485	-68.97	42.61
10.519	-67.43	40.79
10.552	-66.26	33.97
10.586	-65.17	34.84
10.619	-63.94	41.24
10.652	-62.43	47.09
10.685	-60.80	48.01
10.718	-59.23	46.70
10.752	-57.70	40.73
10.785	-56.52	35.28
10.818	-55.35	42.19
10.852	-53.71	42.41
10.885	-52.53	38.39
10.918	-51.15	43.22
10.951	-49.65	41.64
10.985	-48.39	38.38
11.018	-47.10	40.14
11.051	-45.72	41.14
11.084	-44.36	37.80
11.118	-43.20	42.84
11.151	-41.51	50.54
11.184	-39.84	47.98
11.217	-38.32	46.33
11.251	-36.76	42.71
11.284	-35.48	34.25
11.317	-34.48	42.30
11.350	-32.67	44.27
11.384	-31.54	34.52
11.417	-30.37	33.17
11.450	-29.33	40.83
11.483	-27.65	44.86
11.517	-26.35	44.24
11.550	-24.71	42.05
11.583	-23.55	34.79
11.617	-22.40	34.53
11.650	-21.26	36.49
11.683	-19.97	38.71
11.716	-18.68	39.52
11.750	-17.34	40.92
11.783	-15.96	39.93
11.816	-14.69	39.47
11.849	-13.33	45.94
11.883	-11.63	43.65
11.916	-10.42	32.26
11.949	-9.479	42.00
11.982	-7.636	48.20
12.016	-6.273	37.24
12.049	-5.154	38.76
12.082	-3.694	40.85
12.116	-2.437	35.23
12.149	-1.350	30.87
12.182	-0.383	42.73
