small3
t	x	v_{x}
0.000	-363.9	
0.033	-363.8	0.794
0.067	-363.8	0.463
0.100	-363.8	-0.733
0.133	-363.9	-1.314
0.166	-363.9	1.819
0.200	-363.8	4.769
0.233	-363.5	12.08
0.266	-363.0	14.94
0.299	-362.5	18.86
0.333	-361.7	16.95
0.366	-361.4	17.26
0.399	-360.6	29.24
0.432	-359.5	22.47
0.466	-359.1	15.57
0.499	-358.4	16.72
0.532	-357.9	11.75
0.565	-357.7	16.64
0.599	-356.8	20.48
0.632	-356.3	21.60
0.665	-355.4	24.49
0.699	-354.7	23.27
0.732	-353.9	25.64
0.765	-353.0	16.19
0.798	-352.8	19.12
0.832	-351.7	27.54
0.865	-350.9	23.97
0.898	-350.1	20.72
0.931	-349.6	21.64
0.965	-348.6	25.59
0.998	-347.9	21.68
1.031	-347.2	19.47
1.064	-346.6	21.94
1.098	-345.7	13.68
1.131	-345.7	13.17
1.164	-344.9	25.88
1.198	-343.9	35.99
1.231	-342.5	32.63
1.264	-341.8	20.46
1.297	-341.1	19.83
1.331	-340.4	19.58
1.364	-339.8	21.51
1.397	-339.0	20.22
1.431	-338.5	19.87
1.464	-337.7	23.86
1.497	-336.9	23.24
1.530	-336.1	16.17
1.564	-335.8	18.88
1.597	-334.9	22.47
1.630	-334.3	25.10
1.663	-333.2	25.78
1.697	-332.6	17.63
1.730	-332.0	16.70
1.763	-331.5	20.51
1.796	-330.7	26.88
1.829	-329.7	24.81
1.863	-329.0	17.28
1.896	-328.5	16.20
1.929	-328.0	11.26
1.963	-327.8	18.59
1.996	-326.7	16.18
2.029	-326.7	13.83
2.062	-325.8	26.32
2.096	-325.0	20.61
2.129	-324.4	17.93
2.162	-323.8	22.56
2.195	-322.9	20.67
2.229	-322.4	17.10
2.262	-321.8	21.99
2.295	-320.9	23.82
2.329	-320.2	21.43
2.362	-319.5	20.75
2.395	-318.8	22.97
2.428	-318.0	19.81
2.462	-317.5	18.47
2.495	-316.8	23.75
2.528	-315.9	26.16
2.561	-315.0	26.33
2.595	-314.2	27.20
2.628	-313.2	24.45
2.661	-312.5	21.03
2.694	-311.8	23.06
2.728	-311.0	24.35
2.761	-310.2	21.32
2.794	-309.6	23.44
2.827	-308.6	25.10
2.861	-307.9	22.21
2.894	-307.1	23.07
2.927	-306.4	21.45
2.960	-305.7	23.40
2.994	-304.8	24.91
3.027	-304.1	20.04
3.060	-303.5	19.42
3.094	-302.8	10.77
3.127	-302.8	12.58
3.160	-301.9	25.27
3.193	-301.1	22.47
3.227	-300.4	20.56
3.260	-299.7	21.33
3.293	-299.0	19.22
3.326	-298.5	18.47
3.360	-297.8	23.85
3.393	-296.9	15.98
3.426	-296.7	19.05
3.459	-295.6	31.00
3.493	-294.7	26.06
3.526	-293.9	26.33
3.559	-292.9	21.39
